run_id,team_count,round_count,market_scenario,team_name,archetype,strategy_key,strategy_label,profit_rank,balanced_rank,balanced_score,profit,revenue,total_cost,sales_units,fill_rate,forecast_wape,ending_cash_balance,short_term_debt_balance,cash_minus_debt,liquidity_stress_flag,reputation_after_round,lost_sales_units,backlog_units_end,ending_inventory
44,9,4,batch_044,Team 06,Premium Quality,aggressive_growth,Aggressive growth,7,7,32.0,-16217.66,21459.84,37677.5,126,0.9961,1.1978,0.0,42372.7,-42372.7,True,81.77,0,0,506
44,9,4,batch_044,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,8,8,7.0,-23617.4,21764.16,45381.56,172,0.9876,1.3829,0.0,43415.57,-43415.57,True,54.13,0,0,465
44,9,4,batch_044,Team 09,Low-Cost Volume,balanced_sop,Balanced S&OP,9,9,0.0,-23629.42,15361.0,38990.42,149,0.9885,1.5476,0.0,60660.5,-60660.5,True,43.73,0,0,970
45,8,4,batch_045,Team 01,Premium Quality,premium_quality,Premium quality,1,2,77.1,12297.07,34024.32,21727.25,181,0.8019,0.1498,76256.56,0.0,76256.56,False,68.06,29,14,11
45,8,4,batch_045,Team 07,Sponsorship Growth,premium_quality,Premium quality,2,1,80.0,12007.98,42456.96,30448.98,280,0.8343,0.1124,73976.56,0.0,73976.56,False,61.05,31,23,69
45,8,4,batch_045,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,3,3,71.4,10541.4,32468.0,21926.6,197,0.8161,0.0897,74280.22,4000.0,70280.22,False,65.52,19,24,17
45,8,4,batch_045,Team 05,Community / Club,cash_conservative,Cash conservative,4,5,40.0,10281.71,23933.28,13651.57,188,0.6509,0.2739,70253.12,0.0,70253.12,False,33.82,87,12,13
45,8,4,batch_045,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,5,7,17.7,9201.68,34429.29,25227.61,230,0.8074,0.5383,42455.1,28000.0,14455.099999999999,True,32.59,19,34,170
45,8,4,batch_045,Team 08,Engineering Challenger,low_cost_volume,Low-cost volume,6,4,43.4,5814.75,32465.84,26651.09,222,0.9669,0.2476,55902.86,14000.0,41902.86,True,56.47,0,6,20
45,8,4,batch_045,Team 06,Premium Quality,aggressive_growth,Aggressive growth,7,6,29.1,3249.99,36207.36,32957.37,214,0.9668,0.2559,81171.47,40000.0,41171.47,True,83.74,0,7,104
45,8,4,batch_045,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,8,8,9.1,-3714.05,36382.72,40096.77,286,0.9513,0.4788,26207.7,14000.0,12207.7,True,23.5,0,13,125
46,5,4,batch_046,Team 01,Premium Quality,premium_quality,Premium quality,1,1,80.0,8566.33,34192.8,25626.47,182,0.7578,0.2041,62336.66,0.0,62336.66,False,63.17,44,14,0
46,5,4,batch_046,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,2,2,80.0,6941.91,32617.0,25675.09,198,0.791,0.1163,49314.57,4000.0,45314.57,False,45.19,28,24,0
