run_id,team_count,round_count,market_scenario,market_label,demand_multiplier,demand_growth_delta,premium_share_shift,mid_share_shift,beginner_share_shift,material_cost_index_delta,supply_risk,quality_sensitivity_delta,technology_shift_delta,market_generation_offset,beginner_price_pressure_delta,profit_winner,profit_winner_strategy,profit_winner_profit,balanced_winner,balanced_winner_strategy,balanced_winner_score,service_winner,forecast_winner,cash_winner,average_profit,liquidity_stress_team_count
85,9,4,batch_085,Batch market 085,1.3773,-0.0035,0.0503,0.096,-0.1106,0.1849,Moderate,0.2302,0.1146,0,0.048,Team 05,Cash conservative,7609.84,Team 01,Premium quality,77.5,Team 06,Team 03,Team 05,-2425.42,6
86,5,4,batch_086,Batch market 086,1.1259,0.0369,0.1327,0.0474,-0.0408,0.0112,Moderate,0.0199,0.3212,-1,-0.0729,Team 01,Premium quality,10599.47,Team 01,Premium quality,70.0,Team 04,Team 02,Team 01,7953.81,1
87,9,4,batch_087,Batch market 087,1.1007,0.099,-0.1326,0.0828,0.0798,-0.015,High,0.1255,-0.0733,-1,0.2578,Team 01,Premium quality,9951.65,Team 01,Premium quality,85.0,Team 03,Team 03,Team 05,4092.87,5
88,6,4,batch_088,Batch market 088,1.6118,0.0825,-0.1326,0.0894,0.0546,0.1289,Moderate,0.0043,0.1081,0,0.0022,Team 01,Premium quality,8658.37,Team 01,Premium quality,68.0,Team 02,Team 02,Team 01,5209.35,2
89,8,4,batch_089,Batch market 089,1.0297,0.0187,-0.0249,-0.0043,0.045,0.0145,Moderate,0.0446,-0.0111,1,-0.057,Team 05,Cash conservative,7999.81,Team 01,Premium quality,74.3,Team 06,Team 01,Team 05,-926.65,5
90,4,4,batch_090,Batch market 090,1.2061,0.0418,0.1012,0.088,0.0247,0.0773,Moderate,0.0617,0.05,0,0.2026,Team 01,Premium quality,9512.13,Team 01,Premium quality,60.0,Team 04,Team 02,Team 01,6630.47,1
91,4,4,batch_091,Batch market 091,0.7685,0.0504,-0.0703,0.0281,-0.1292,0.1768,Moderate,0.26,-0.0459,1,0.0548,Team 01,Premium quality,7867.27,Team 01,Premium quality,60.0,Team 02,Team 02,Team 01,2424.51,1
92,10,4,batch_092,Batch market 092,0.973,-0.0351,0.1278,0.0092,-0.1364,0.0024,Moderate,-0.0626,0.0354,0,0.0051,Team 10,Innovation leap,8896.12,Team 01,Premium quality,73.3,Team 06,Team 05,Team 05,-8791.03,8
93,7,4,batch_093,Batch market 093,0.8001,-0.0588,-0.0438,-0.0018,-0.0038,0.0205,Low,-0.2019,-0.0252,0,0.1034,Team 04,Innovation leap,8772.8,Team 01,Premium quality,73.3,Team 02,Team 05,Team 05,-7128.52,5
94,4,4,batch_094,Batch market 094,1.342,0.0522,0.0499,0.0919,-0.0702,-0.0326,High,0.1969,0.2301,0,0.0834,Team 01,Premium quality,11323.46,Team 01,Premium quality,60.0,Team 02,Team 02,Team 01,8665.34,1
95,7,4,batch_095,Batch market 095,1.6521,-0.0647,-0.1192,0.0659,-0.0787,0.004,Low,0.2234,-0.0165,-1,0.2435,Team 07,Premium quality,11003.04,Team 07,Premium quality,83.3,Team 02,Team 06,Team 07,7290.33,3
96,10,4,batch_096,Batch market 096,1.1984,0.0819,-0.0419,-0.0406,0.1193,0.0643,Low,0.1438,-0.0134,0,0.1315,Team 10,Innovation leap,10827.0,Team 01,Premium quality,75.6,Team 06,Team 01,Team 05,-724.52,7
97,10,4,batch_097,Batch market 097,0.8369,-0.0422,0.1129,-0.0353,0.0312,0.0991,Moderate,-0.0473,-0.0156,0,0.3248,Team 10,Innovation leap,7804.78,Team 10,Innovation leap,80.9,Team 03,Team 05,Team 05,-13631.33,9
98,9,4,batch_098,Batch market 098,1.3971,0.0178,0.1067,0.0152,0.0553,0.0752,High,0.1078,-0.0076,-1,0.3436,Team 01,Premium quality,9095.86,Team 03,Balanced S&OP,85.0,Team 08,Team 03,Team 01,2896.49,5
99,10,4,batch_099,Batch market 099,1.6177,0.0647,-0.1067,-0.0304,0.0692,0.0869,Moderate,0.1188,0.0093,1,-0.0404,Team 03,Balanced S&OP,11026.17,Team 03,Balanced S&OP,95.6,Team 03,Team 03,Team 05,3837.41,6
100,5,4,batch_100,Batch market 100,1.3161,0.0642,0.0199,0.0393,-0.1141,0.0337,Moderate,-0.2049,0.1611,1,0.2085,Team 01,Premium quality,10221.4,Team 01,Premium quality,70.0,Team 04,Team 02,Team 01,6525.31,1
